주_도_성,국가_지역,위도,경도,발생일시,확진자,사망자,완치자,격리중,WHO보건지역,cluster,c
,West Bank and Gaza,31.9522,35.2332,2020-07-27,10621,78,3752,6791,Eastern Mediterranean,1,blue
,Guinea-Bissau,11.8037,-15.1804,2020-07-27,1954,26,803,1125,Africa,0,red
,Mali,17.570692,-3.996166000000001,2020-07-27,2513,124,1913,476,Africa,0,red
,Saint Kitts and Nevis,17.357822,-62.782998,2020-07-27,17,0,15,2,Americas,0,red
Northwest Territories,Canada,64.8255,-124.8457,2020-07-27,5,0,0,5,Americas,0,red
Yukon,Canada,64.2823,-135.0,2020-07-27,14,0,0,14,Americas,0,red
,Kosovo,42.602636,20.902977,2020-07-27,7413,185,4027,3201,Europe,1,blue
,Burma,21.9162,95.956,2020-07-27,350,6,292,52,South-East Asia,1,blue
Anguilla,United Kingdom,18.2206,-63.0686,2020-07-27,3,0,3,0,Europe,0,red
British Virgin Islands,United Kingdom,18.4207,-64.64,2020-07-27,8,1,7,0,Europe,0,red
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2020-07-27,99,2,36,61,Europe,0,red
,Botswana,-22.3285,24.6849,2020-07-27,739,2,63,674,Africa,1,blue
,Burundi,-3.3731,29.9189,2020-07-27,378,1,301,76,Africa,1,blue
,Sierra Leone,8.460555000000001,-11.779889,2020-07-27,1783,66,1317,400,Africa,0,red
,Malawi,-13.2543,34.3015,2020-07-27,3664,99,1645,1920,Africa,1,blue
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,2020-07-27,13,0,13,0,Europe,0,red
Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-07-27,4,0,1,3,Europe,0,red
,South Sudan,6.877000000000002,31.307,2020-07-27,2305,46,1175,1084,Africa,1,blue
,Western Sahara,24.2155,-12.8858,2020-07-27,10,1,8,1,Africa,0,red
,Sao Tome and Principe,0.1864,6.6131,2020-07-27,865,14,734,117,Africa,0,red
,Yemen,15.552727,48.516388,2020-07-27,1691,483,833,375,Eastern Mediterranean,1,blue
,Comoros,-11.6455,43.3333,2020-07-27,354,7,328,19,Africa,1,blue
,Tajikistan,38.861,71.2761,2020-07-27,7235,60,6028,1147,Europe,1,blue
,Lesotho,-29.61,28.2336,2020-07-27,505,12,128,365,Africa,1,blue
